MarketCap(Billions),CompanyID,Year,Change
2008.0,0,2024,0.2793
1570.0,0,2023,0.8323
856.94,0,2022,-0.4932
1691.0,0,2021,0.0348
1634.0,0,2020,0.7758
920.22,0,2019,0.2478
737.46,0,2018,0.3086
563.53,0,2017,0.5816
356.31,0,2016,0.1193
318.34,0,2015,1.2059
144.31,0,2014,-0.2116
183.04,0,2013,0.6071
113.89,0,2012,0.4469
78.71,0,2011,-0.0303
81.18,0,2010,0.3592
59.72,0,2009,1.716
21.99,0,2008,-0.4294
38.53,0,2007,1.359
16.33,0,2006,-0.1671
19.61,0,2005,0.0809
18.14,0,2004,-0.145
21.22,0,2003,1.8965
7.32,0,2002,0.8145
4.03,0,2001,-0.2734
5.55,0,2000,-0.7885
26.27,0,1999,0.5406
17.05,0,1998,10.8134
1.44,0,1997,
3600.0,1,2024,0.2025
2994.0,1,2023,0.4487
2066.0,1,2022,-0.2877
2901.0,1,2021,0.2862
2255.0,1,2020,0.752
1287.0,1,2019,0.7259
746.07,1,2018,-0.1334
860.88,1,2017,0.4137
608.96,1,2016,0.0434
583.61,1,2015,-0.0925
643.12,1,2014,0.2843
500.74,1,2013,0.0021
499.69,1,2012,0.3236
377.51,1,2011,0.2707
297.09,1,2010,0.5556
190.98,1,2009,1.513
75.99,1,2008,-0.5633
174.03,1,2007,1.3847
72.98,1,2006,0.2005
60.79,1,2005,1.3334
26.05,1,2004,2.306
7.88,1,2003,0.5265
5.16,1,2002,-0.3312
7.71,1,2001,0.5027
5.13,1,2000,-0.6901
16.57,1,1999,1.9915
5.54,1,1998,2.2971
1.68,1,1997,-0.3538
545.44,2,2022,-0.417
935.64,2,2021,0.2026
778.03,2,2020,0.3291
585.37,2,2019,0.5646
374.13,2,2018,-0.2704
512.75,2,2017,0.5463
331.59,2,2016,0.118
296.6,2,2015,0.3685
216.73,2,2014,0.5571
139.19,2,2013,1.2044
63.14,2,2012,
2281.0,3,2024,0.2986
1756.0,3,2023,0.5343
1145.0,3,2022,-0.4027
1917.0,3,2021,0.6174
1185.0,3,2020,0.2868
921.13,3,2019,0.2731
723.55,3,2018,-0.0081
729.45,3,2017,0.3532
539.06,3,2016,0.0206
528.16,3,2015,0.4692
359.5,3,2014,
282.86,4,2024,0.3274
213.09,4,2023,0.6239
131.22,4,2022,-0.5094
267.46,4,2021,0.1196
238.89,4,2020,0.6825
141.98,4,2019,0.215
116.85,4,2018,0.4068
83.06,4,2017,0.5635
53.12,4,2016,0.0854
48.94,4,2015,1.3717
20.63,4,2014,-0.0595
21.94,4,2013,3.2639
5.14,4,2012,0.4147
3.63,4,2011,-0.6077
9.27,4,2010,2.15
2.94,4,2009,0.6733
1.75,4,2008,0.0182
1.72,4,2007,-0.0261
1.77,4,2006,0.1975
1.48,4,2005,1.2789
0.65,4,2004,-0.4242
1.12,4,2003,3.9673
0.22,4,2002,
