"CompanyName","Change","Year","CeoName"
"Amazon","0",1997,"Jeff Bezos"
"Amazon","10.8134",1998,"Jeff Bezos"
"Amazon","0.5406",1999,"Jeff Bezos"
"Amazon","-0.7885",2000,"Jeff Bezos"
"Amazon","-0.2734",2001,"Jeff Bezos"
"Amazon","0.8145",2002,"Jeff Bezos"
"Amazon","1.8965",2003,"Jeff Bezos"
"Amazon","-0.145",2004,"Jeff Bezos"
"Amazon","0.0809",2005,"Jeff Bezos"
"Amazon","-0.1671",2006,"Jeff Bezos"
"Amazon","1.359",2007,"Jeff Bezos"
"Amazon","-0.4294",2008,"Jeff Bezos"
"Amazon","1.716",2009,"Jeff Bezos"
"Amazon","0.3592",2010,"Jeff Bezos"
"Amazon","-0.0303",2011,"Jeff Bezos"
"Amazon","0.4469",2012,"Jeff Bezos"
"Amazon","0.6071",2013,"Jeff Bezos"
"Amazon","-0.2116",2014,"Jeff Bezos"
"Amazon","1.2059",2015,"Jeff Bezos"
"Amazon","0.1193",2016,"Jeff Bezos"
"Amazon","0.5816",2017,"Jeff Bezos"
"Amazon","0.3086",2018,"Jeff Bezos"
"Amazon","0.2478",2019,"Jeff Bezos"
"Amazon","0.7758",2020,"Jeff Bezos"
"Amazon","0.0348",2021,"Jeff Bezos"
"Amazon","0.0348",2021,"Andy Jassy"
"Amazon","-0.4932",2022,"Andy Jassy"
"Amazon","0.8323",2023,"Andy Jassy"
"Amazon","0.2793",2024,"Andy Jassy"
"Apple","-0.3538",1997,"Gilbert Frank Amelio"
"Apple","-0.3538",1997,"Steve Jobs"
"Apple","2.2971",1998,"Steve Jobs"
"Apple","1.9915",1999,"Steve Jobs"
"Apple","-0.6901",2000,"Steve Jobs"
"Apple","0.5027",2001,"Steve Jobs"
"Apple","-0.3312",2002,"Steve Jobs"
"Apple","0.5265",2003,"Steve Jobs"
"Apple","2.306",2004,"Steve Jobs"
"Apple","1.3334",2005,"Steve Jobs"
"Apple","0.2005",2006,"Steve Jobs"
"Apple","1.3847",2007,"Steve Jobs"
"Apple","-0.5633",2008,"Steve Jobs"
"Apple","1.513",2009,"Steve Jobs"
"Apple","0.5556",2010,"Steve Jobs"
"Apple","0.2707",2011,"Steve Jobs"
"Apple","0.2707",2011,"Tim Cook"
"Apple","0.3236",2012,"Tim Cook"
"Apple","0.0021",2013,"Tim Cook"
"Apple","0.2843",2014,"Tim Cook"
"Apple","-0.0925",2015,"Tim Cook"
"Apple","0.0434",2016,"Tim Cook"
"Apple","0.4137",2017,"Tim Cook"
"Apple","-0.1334",2018,"Tim Cook"
"Apple","0.7259",2019,"Tim Cook"
"Apple","0.752",2020,"Tim Cook"
"Apple","0.2862",2021,"Tim Cook"
"Apple","-0.2877",2022,"Tim Cook"
"Apple","0.4487",2023,"Tim Cook"
"Apple","0.2025",2024,"Tim Cook"
"Facebook","0",2012,"Mark Zuckerberg"
"Facebook","1.2044",2013,"Mark Zuckerberg"
"Facebook","0.5571",2014,"Mark Zuckerberg"
"Facebook","0.3685",2015,"Mark Zuckerberg"
"Facebook","0.118",2016,"Mark Zuckerberg"
"Facebook","0.5463",2017,"Mark Zuckerberg"
"Facebook","-0.2704",2018,"Mark Zuckerberg"
"Facebook","0.5646",2019,"Mark Zuckerberg"
"Facebook","0.3291",2020,"Mark Zuckerberg"
"Facebook","0.2026",2021,"Mark Zuckerberg"
"Facebook","-0.417",2022,"Mark Zuckerberg"
"Google","0",2014,"Larry Page"
"Google","0.4692",2015,"Larry Page"
"Google","0.4692",2015,"Sundar Pichai"
"Google","0.0206",2016,"Sundar Pichai"
"Google","0.3532",2017,"Sundar Pichai"
"Google","-0.0081",2018,"Sundar Pichai"
"Google","0.2731",2019,"Sundar Pichai"
"Google","0.2868",2020,"Sundar Pichai"
"Google","0.6174",2021,"Sundar Pichai"
"Google","-0.4027",2022,"Sundar Pichai"
"Google","0.5343",2023,"Sundar Pichai"
"Google","0.2986",2024,"Sundar Pichai"
"Netflix","0",2002,"Reed Hastings"
"Netflix","3.9673",2003,"Reed Hastings"
"Netflix","-0.4242",2004,"Reed Hastings"
"Netflix","1.2789",2005,"Reed Hastings"
"Netflix","0.1975",2006,"Reed Hastings"
"Netflix","-0.0261",2007,"Reed Hastings"
"Netflix","0.0182",2008,"Reed Hastings"
"Netflix","0.6733",2009,"Reed Hastings"
"Netflix","2.15",2010,"Reed Hastings"
"Netflix","-0.6077",2011,"Reed Hastings"
"Netflix","0.4147",2012,"Reed Hastings"
"Netflix","3.2639",2013,"Reed Hastings"
"Netflix","-0.0595",2014,"Reed Hastings"
"Netflix","1.3717",2015,"Reed Hastings"
"Netflix","0.0854",2016,"Reed Hastings"
"Netflix","0.5635",2017,"Reed Hastings"
"Netflix","0.4068",2018,"Reed Hastings"
"Netflix","0.215",2019,"Reed Hastings"
"Netflix","0.6825",2020,"Reed Hastings"
"Netflix","0.6825",2020,"Ted Sarandos"
"Netflix","0.1196",2021,"Ted Sarandos"
"Netflix","-0.5094",2022,"Ted Sarandos"
"Netflix","0.6239",2023,"Ted Sarandos"
"Netflix","0.6239",2023,"Greg Peters"
"Netflix","0.3274",2024,"Greg Peters"
